timestamp,temp,humidity,wind_speed,weather_main,rain_1h
2026-05-29T06:00:00Z,31.25,43,8.34,Haze,0.0
2026-05-29T07:00:00Z,31.84,43,7.65,Haze,0.0
2026-05-29T08:00:00Z,32.0,42,7.69,Clouds,0.0
2026-05-29T09:00:00Z,32.0,48,13.44,Clouds,0.0
2026-05-29T10:00:00Z,31.79,48,14.92,Haze,0.0
2026-05-29T11:00:00Z,31.12,49,13.8,Haze,0.0
2026-05-29T12:00:00Z,30.31,51,15.98,Clouds,0.0
2026-05-29T13:00:00Z,26.77,69,15.47,Rain,5.68
2026-05-29T14:00:00Z,27.42,59,18.93,Clear,0.0
2026-05-29T15:00:00Z,26.11,64,18.67,Clouds,0.0
2026-05-29T16:00:00Z,25.26,73,16.56,Haze,0.0
2026-05-29T17:00:00Z,23.73,81,15.43,Clouds,0.0
2026-05-29T18:00:00Z,22.0,84,19.23,Rain,3.18
2026-05-29T19:00:00Z,22.13,82,18.6,Clear,0.0
2026-05-29T20:00:00Z,22.0,84,16.81,Clouds,0.0
2026-05-29T21:00:00Z,22.0,80,15.12,Clouds,0.0
2026-05-29T22:00:00Z,22.83,83,9.63,Haze,0.0
2026-05-29T23:00:00Z,23.09,83,11.13,Haze,0.0
2026-05-30T00:00:00Z,23.49,76,9.86,Clouds,0.0
2026-05-30T01:00:00Z,25.08,75,7.19,Clouds,0.0
2026-05-30T02:00:00Z,26.68,63,8.57,Haze,0.0
2026-05-30T03:00:00Z,27.88,66,5.27,Clouds,0.0
2026-05-30T04:00:00Z,29.18,58,5.25,Clouds,0.0
2026-05-30T05:00:00Z,30.02,51,7.68,Clouds,0.0
