timestamp,junction_name,latitude,longitude,congestion_level,avg_speed_kmph
2026-05-29T06:00:00Z,Hebbal,13.035,77.597,29,38.25
2026-05-29T06:00:00Z,Koramangala,12.935,77.624,27,37.35
2026-05-29T06:00:00Z,Marathahalli,12.959,77.697,24,41.92
2026-05-29T06:00:00Z,Silk Board,12.917,77.623,43,33.28
2026-05-29T06:00:00Z,Whitefield,12.969,77.75,31,37.09
2026-05-29T07:00:00Z,Hebbal,13.035,77.597,33,37.63
2026-05-29T07:00:00Z,Koramangala,12.935,77.624,19,44.64
2026-05-29T07:00:00Z,Marathahalli,12.959,77.697,30,37.93
2026-05-29T07:00:00Z,Silk Board,12.917,77.623,40,33.2
2026-05-29T07:00:00Z,Whitefield,12.969,77.75,25,38.49
2026-05-29T08:00:00Z,Hebbal,13.035,77.597,63,29.81
2026-05-29T08:00:00Z,Koramangala,12.935,77.624,56,31.38
2026-05-29T08:00:00Z,Marathahalli,12.959,77.697,65,29.05
2026-05-29T08:00:00Z,Silk Board,12.917,77.623,78,26.99
2026-05-29T08:00:00Z,Whitefield,12.969,77.75,70,27.28
2026-05-29T09:00:00Z,Hebbal,13.035,77.597,53,31.7
2026-05-29T09:00:00Z,Koramangala,12.935,77.624,49,32.04
2026-05-29T09:00:00Z,Marathahalli,12.959,77.697,74,27.87
2026-05-29T09:00:00Z,Silk Board,12.917,77.623,95,20.93
2026-05-29T09:00:00Z,Whitefield,12.969,77.75,64,27.25
2026-05-29T10:00:00Z,Hebbal,13.035,77.597,61,28.94
2026-05-29T10:00:00Z,Koramangala,12.935,77.624,51,29.9
2026-05-29T10:00:00Z,Marathahalli,12.959,77.697,70,25.26
2026-05-29T10:00:00Z,Silk Board,12.917,77.623,78,24.73
2026-05-29T10:00:00Z,Whitefield,12.969,77.75,77,24.7
2026-05-29T11:00:00Z,Hebbal,13.035,77.597,59,28.27
2026-05-29T11:00:00Z,Koramangala,12.935,77.624,53,30.93
2026-05-29T11:00:00Z,Marathahalli,12.959,77.697,63,26.93
